"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2025","279.770","280.275","280.275","280.085","","0.00%"
"03/31/2025","279.770","280.275","280.290","280.075","","-0.08%"
"03/29/2025","280.000","280.000","280.000","280.000","","0.00%"
"03/28/2025","280.000","280.275","280.375","280.010","","0.00%"
"03/27/2025","280.000","280.275","280.400","280.035","","0.05%"
"03/26/2025","279.870","280.475","280.525","280.085","","-0.04%"
"03/25/2025","279.970","280.375","280.540","280.210","","0.04%"
"03/24/2025","279.870","280.300","280.390","280.035","","-0.08%"
"03/22/2025","280.100","280.100","280.100","280.100","","0.04%"
"03/21/2025","280.000","280.300","280.350","280.150","","0.00%"
"03/20/2025","280.000","280.150","280.350","280.125","","0.06%"
"03/19/2025","279.820","280.125","280.365","279.900","","-0.06%"
"03/18/2025","280.000","280.175","280.350","280.125","","0.02%"
"03/17/2025","279.950","280.175","280.225","279.875","","-0.02%"
"03/15/2025","280.000","280.000","280.000","280.000","","0.00%"
"03/14/2025","280.000","280.050","280.175","280.050","","0.14%"
"03/13/2025","279.620","280.050","280.050","279.860","","-0.12%"
"03/12/2025","279.950","280.000","280.075","279.900","","0.05%"
"03/11/2025","279.800","280.000","280.100","279.900","","0.00%"
"03/10/2025","279.800","280.000","280.200","279.670","","0.00%"
"03/08/2025","279.800","279.800","279.800","279.800","","0.00%"
"03/07/2025","279.800","279.700","280.100","279.700","","0.14%"
"03/06/2025","279.410","279.925","279.925","279.610","","-0.03%"
"03/05/2025","279.500","279.875","279.925","279.700","","0.00%"
"03/04/2025","279.500","279.875","279.875","279.650","","0.05%"
"03/03/2025","279.370","279.700","279.700","279.700","","-0.05%"
"03/01/2025","279.500","279.500","279.500","279.500","","0.00%"
"02/28/2025","279.500","279.875","279.875","279.600","","0.00%"
"02/27/2025","279.500","279.650","279.875","279.325","","-0.09%"
"02/26/2025","279.750","279.950","279.950","279.525","","0.09%"
"02/25/2025","279.500","279.950","279.950","279.625","","-0.02%"
"02/24/2025","279.550","279.625","279.950","279.600","","0.11%"
"02/22/2025","279.250","279.250","279.250","279.250","","0.00%"
"02/21/2025","279.250","279.625","279.625","279.400","","0.09%"
"02/20/2025","279.000","279.125","279.625","279.125","","-0.09%"
"02/19/2025","279.250","279.125","279.700","279.125","","0.06%"
"02/18/2025","279.070","279.125","279.515","279.060","","-0.01%"
"02/17/2025","279.100","279.125","279.200","279.125","","0.04%"
"02/15/2025","279.000","279.000","279.000","279.000","","-0.02%"
"02/14/2025","279.050","279.125","279.150","279.125","","0.02%"
"02/13/2025","279.000","279.125","279.325","279.060","","0.14%"
"02/12/2025","278.620","279.125","279.275","278.925","","-0.04%"
"02/11/2025","278.720","279.100","279.140","278.960","","0.01%"
"02/10/2025","278.700","278.950","279.150","278.935","","0.03%"
"02/08/2025","278.620","278.620","278.620","278.620","","0.00%"
"02/07/2025","278.620","279.125","279.140","278.860","","0.00%"
"02/06/2025","278.620","279.125","279.165","278.810","","-0.03%"
"02/05/2025","278.700","279.000","279.000","279.000","","0.04%"
"02/04/2025","278.600","279.150","279.225","278.150","","-0.14%"
"02/03/2025","279.000","278.850","279.125","278.850","","0.15%"
"02/01/2025","278.570","278.570","278.570","278.570","","0.00%"
"01/31/2025","278.570","278.875","278.940","278.760","","-0.12%"
"01/30/2025","278.900","278.850","278.950","278.850","","0.23%"
"01/29/2025","278.250","278.800","278.875","278.540","","-0.13%"
"01/28/2025","278.600","278.850","278.875","278.775","","-0.02%"
"01/27/2025","278.650","278.850","278.900","278.725","","0.16%"
"01/25/2025","278.200","278.200","278.200","278.200","","0.00%"
"01/24/2025","278.200","278.850","278.890","278.475","","-0.14%"
"01/23/2025","278.600","278.850","278.875","278.650","","0.08%"
"01/22/2025","278.370","278.850","278.915","278.575","","0.04%"
"01/21/2025","278.250","278.750","278.875","278.515","","-0.14%"
"01/20/2025","278.650","278.700","278.850","278.600","","0.14%"
"01/18/2025","278.250","278.250","278.250","278.250","","-0.04%"
"01/17/2025","278.370","278.850","278.865","278.560","","-0.12%"
"01/16/2025","278.700","278.850","278.850","278.650","","0.12%"
"01/15/2025","278.370","278.850","278.875","278.400","","0.00%"
"01/14/2025","278.370","278.850","278.850","278.535","","-0.01%"
"01/13/2025","278.400","278.850","278.850","278.550","","0.00%"
"01/11/2025","278.400","278.400","278.400","278.400","","0.00%"
"01/10/2025","278.400","278.850","278.850","278.500","","-0.03%"
"01/09/2025","278.470","278.625","278.875","278.475","","0.07%"
"01/08/2025","278.270","278.625","278.665","278.485","","0.01%"
"01/07/2025","278.250","278.625","278.700","278.460","","0.00%"
"01/06/2025","278.250","278.625","278.700","278.425","","-0.05%"
"01/04/2025","278.400","278.400","278.400","278.400","","0.00%"
"01/03/2025","278.400","278.625","278.625","278.500","","0.03%"
"01/02/2025","278.320","278.575","278.675","278.350","","0.07%"
"01/01/2025","278.120","278.120","278.120","278.120","","0.00%"
"12/31/2024","278.120","278.625","278.625","278.360","","0.00%"
"12/30/2024","278.120","278.625","278.625","278.275","","-0.05%"
"12/28/2024","278.250","278.250","278.250","278.250","","0.00%"
"12/27/2024","278.250","278.625","278.625","278.375","","0.05%"
"12/26/2024","278.120","278.625","278.625","278.235","","-0.06%"
"12/25/2024","278.300","278.300","278.300","278.300","","0.00%"
"12/24/2024","278.300","278.625","278.625","278.375","","-0.07%"
"12/23/2024","278.500","278.100","278.700","278.100","","0.09%"
"12/21/2024","278.250","278.250","278.250","278.250","","0.00%"
"12/20/2024","278.250","278.100","278.350","278.100","","0.02%"
"12/19/2024","278.200","278.100","278.300","278.100","","0.02%"
"12/18/2024","278.150","278.100","278.250","278.100","","0.19%"
"12/17/2024","277.620","278.100","278.230","277.910","","0.00%"
"12/16/2024","277.620","278.100","278.130","277.910","","-0.12%"
"12/14/2024","277.950","277.950","277.950","277.950","","0.00%"
"12/13/2024","277.950","278.100","278.100","277.950","","-0.02%"
"12/12/2024","278.000","278.125","278.125","278.125","","-0.04%"
"12/11/2024","278.100","278.100","278.150","278.100","","0.14%"
"12/10/2024","277.720","278.100","278.100","277.860","","0.04%"
"12/09/2024","277.620","278.100","278.100","277.785","","-0.04%"
"12/07/2024","277.720","277.720","277.720","277.720","","0.00%"
"12/06/2024","277.720","277.925","278.065","277.860","","0.04%"
"12/05/2024","277.620","277.850","277.915","277.760","","0.04%"
"12/04/2024","277.500","277.800","278.225","277.675","","-0.07%"
"12/03/2024","277.700","277.850","277.950","277.800","","0.00%"
"12/02/2024","277.700","277.850","278.225","277.800","","-0.04%"
"11/30/2024","277.800","277.800","277.800","277.800","","0.00%"
"11/29/2024","277.800","277.950","278.200","277.860","","-0.04%"
"11/28/2024","277.900","277.850","278.000","277.850","","0.14%"
"11/27/2024","277.520","277.900","277.915","277.760","","0.00%"
"11/26/2024","277.520","278.125","278.125","277.710","","-0.06%"
"11/25/2024","277.700","278.125","278.125","277.750","","0.04%"
"11/23/2024","277.600","277.600","277.600","277.600","","0.00%"
"11/22/2024","277.600","278.125","278.125","277.675","","0.00%"
"11/21/2024","277.600","278.125","278.125","277.800","","-0.07%"
"11/20/2024","277.800","278.125","278.175","277.900","","0.04%"
"11/19/2024","277.700","277.800","278.250","277.675","","0.01%"
"11/18/2024","277.670","278.125","278.125","277.785","","0.08%"
"11/16/2024","277.450","277.450","277.450","277.450","","0.00%"
"11/15/2024","277.450","278.125","278.125","277.575","","-0.08%"
"11/14/2024","277.670","278.125","278.240","277.700","","0.06%"
"11/13/2024","277.500","278.125","278.150","277.700","","-0.07%"
"11/12/2024","277.700","278.125","278.125","277.850","","-0.04%"
"11/11/2024","277.800","278.125","278.125","277.850","","0.00%"
"11/09/2024","277.800","277.800","277.800","277.800","","0.00%"
"11/08/2024","277.800","278.125","278.150","277.700","","0.02%"
"11/07/2024","277.750","278.125","278.125","277.875","","0.09%"
"11/06/2024","277.500","278.125","278.125","277.700","","-0.04%"
"11/05/2024","277.600","278.125","278.125","277.725","","0.04%"
"11/04/2024","277.500","278.125","278.125","277.650","","0.00%"
"11/02/2024","277.500","277.500","277.500","277.500","","0.00%"
"11/01/2024","277.500","278.125","278.500","277.600","","-0.13%"
"10/31/2024","277.850","278.125","278.125","277.775","","0.13%"
"10/30/2024","277.500","278.125","278.125","277.625","","0.02%"
"10/29/2024","277.450","278.125","278.140","277.575","","0.00%"
"10/28/2024","277.450","278.125","278.140","277.575","","-0.08%"
"10/26/2024","277.670","277.670","277.670","277.670","","0.00%"
"10/25/2024","277.670","278.125","278.125","277.600","","0.06%"
"10/24/2024","277.500","278.125","278.125","277.650","","-0.07%"
"10/23/2024","277.700","278.125","278.125","277.650","","-0.25%"
"10/22/2024","278.400","278.125","278.700","277.650","","0.32%"
"10/21/2024","277.500","278.125","278.125","277.600","","-0.06%"
"10/19/2024","277.670","277.670","277.670","277.670","","0.00%"
"10/18/2024","277.670","278.125","278.125","277.550","","-0.21%"
"10/17/2024","278.250","278.125","278.625","277.725","","0.21%"
"10/16/2024","277.670","277.700","278.125","277.575","","0.08%"
"10/15/2024","277.440","278.125","278.125","277.570","","-0.02%"
"10/14/2024","277.500","278.125","278.125","277.600","","0.00%"
"10/12/2024","277.500","277.500","277.500","277.500","","-0.04%"
"10/11/2024","277.600","277.600","277.750","277.575","","0.04%"
