"Date","Price","Open","High","Low","Vol.","Change %"
"05/06/2025","269.35","271.44","274.48","267.50","643.34K","-0.99%"
"05/05/2025","272.03","275.00","275.99","269.00","422.77K","-0.44%"
"05/02/2025","273.24","267.00","274.51","264.00","674.31K","3.42%"
"04/30/2025","264.21","270.00","271.90","263.00","1.64M","-2.85%"
"04/29/2025","271.96","270.27","276.40","268.00","1.99M","-1.92%"
"04/28/2025","277.27","273.40","279.95","271.61","1.58M","2.08%"
"04/25/2025","271.61","265.20","272.86","265.20","2.09M","2.42%"
"04/24/2025","265.20","260.00","270.00","260.00","1.07M","-1.49%"
"04/23/2025","269.20","270.00","272.50","265.90","824.65K","-0.26%"
"04/22/2025","269.90","280.00","280.44","268.50","2.41M","-3.26%"
"04/21/2025","279.00","257.00","281.00","256.80","5.50M","9.13%"
"04/18/2025","255.65","253.00","259.00","251.00","1.28M","1.08%"
"04/17/2025","252.92","252.99","254.80","252.00","420.15K","-0.07%"
"04/16/2025","253.09","256.02","259.40","250.20","988.04K","-1.14%"
"04/15/2025","256.02","258.51","261.00","255.00","1.01M","-0.82%"
"04/14/2025","258.14","257.45","259.90","255.00","853.51K","0.88%"
"04/11/2025","255.90","255.00","258.79","253.89","384.20K","-0.45%"
"04/10/2025","257.06","267.00","267.90","255.00","1.21M","-1.08%"
"04/09/2025","259.87","259.00","260.90","250.03","648.39K","-0.30%"
"04/08/2025","260.64","256.88","263.49","256.00","1.53M","1.46%"
"04/07/2025","256.88","266.00","266.00","241.00","2.16M","-3.18%"
"04/04/2025","265.33","256.70","277.00","256.70","3.88M","3.46%"
"04/03/2025","256.46","247.45","258.00","244.50","1.42M","3.66%"
"03/27/2025","247.40","245.00","247.99","243.00","550.36K","1.02%"
"03/26/2025","244.90","240.00","245.90","240.00","1.16M","2.42%"
"03/25/2025","239.12","236.00","241.49","236.00","715.77K","1.55%"
"03/24/2025","235.48","239.85","242.00","234.90","812.47K","-1.82%"
"03/21/2025","239.85","242.00","242.85","239.40","713.31K","-0.49%"
"03/20/2025","241.03","242.00","244.00","240.60","1.59M","-2.61%"
